province,district,ward
National Capital District,Port Moresby,
Central,Abau,
Central,Goilala,
Central,Kairuku,
Central,Rigo,
Gulf,Kerema,
Gulf,Kaintiba,
Gulf,Kikori,
Milne Bay,Alotau,
Milne Bay,Esa'ala,
Milne Bay,Kiriwina-Goodenough,
Milne Bay,Samarai-Murua,
Oro (Northern),Popondetta,
Oro (Northern),Ijivitari,
Oro (Northern),Sohe,
Southern Highlands,Mendi-Munihu,
Southern Highlands,Imbonggu,
Southern Highlands,Kagua-Erave,
Southern Highlands,Nipa-Kutubu,
Hela,Tari-Pori,
Hela,Koroba-Lake Kopiago,
Hela,Komo-Magarima,
Enga,Wabag,
Enga,Lagaip-Porgera,
Enga,Kandep,
Enga,Kompiam-Ambum,
Western Highlands,Mt Hagen,
Western Highlands,Dei,
Western Highlands,Tambul-Nebilyer,
Jiwaka,Banz,
Jiwaka,Anglimp-South Waghi,
Jiwaka,Jimi,
Eastern Highlands,Goroka,
Eastern Highlands,Daulo,
Eastern Highlands,Henganofi,
Eastern Highlands,Kainantu,
Eastern Highlands,Lufa,
Eastern Highlands,Obura-Wonenara,
Eastern Highlands,Unggai-Bena,
Chimbu (Simbu),Kundiawa,
Chimbu (Simbu),Chuave,
Chimbu (Simbu),Gumine,
Chimbu (Simbu),Karimui-Nomane,
Chimbu (Simbu),Kerowagi,
Chimbu (Simbu),Sinasina-Yonggomugl,
Madang,Madang,
Madang,Bogia,
Madang,Rai Coast,
Madang,Sumkar,
Madang,Usino-Bundi,
Morobe,Lae,
Morobe,Bulolo,
Morobe,Finschhafen,
Morobe,Kabwum,
Morobe,Markham,
Morobe,Menyamya,
Morobe,Nawae,
Morobe,Tewae-Siassi,
East Sepik,Wewak,
East Sepik,Ambunti-Dreikikir,
East Sepik,Angoram,
East Sepik,Maprik,
East Sepik,Wosera-Gawi,
East Sepik,Yangoru-Saussia,
West Sepik (Sandaun),Vanimo-Green,
West Sepik (Sandaun),Aitape-Lumi,
West Sepik (Sandaun),Nuku,
West Sepik (Sandaun),Telefomin,
Western (Fly River),Daru,
Western (Fly River),Middle Fly,
Western (Fly River),North Fly,
Western (Fly River),South Fly,
West New Britain,Kimbe,
West New Britain,Talasea,
East New Britain,Kokopo,
East New Britain,Gazelle,
East New Britain,Pomio,
East New Britain,Rabaul,
New Ireland,Kavieng,
New Ireland,Namatanai,
Manus,Lorengau,
Bougainville (Autonomous Region),Buka,
Bougainville (Autonomous Region),Arawa,
Bougainville (Autonomous Region),Buin,
