name,type,accreditation_status
University of Papua New Guinea (UPNG) – School of Medicine & Health Sciences,University,accredited
Pacific Adventist University – School of Nursing,University,accredited
Divine Word University – School of Nursing & Allied Health,University,accredited
Mendi School of Nursing,School of Nursing,accredited
Madang Lutheran School of Nursing,School of Nursing,accredited
Lae School of Nursing,School of Nursing,accredited
St. Barnabas School of Nursing (Dogura),School of Nursing,accredited
Sacred Heart School of Nursing,School of Nursing,accredited
West New Britain School of Nursing,School of Nursing,accredited
Bulu CHW Training College,CHW Training College,accredited
Albinama CHW Training College,CHW Training College,accredited
